QUERY,ANSWER
What is the capital of Finland?,Helsinki
What is the name of Bridget Jones' baby in the third Bridget Jones film?,William
At the time of writing (March 2022) how many episodes of The Simpsons are there?,720
Which five colours make up the Olympic rings?,"Black, green, blue, yellow and red"
In which decade was Madonna born? ,The 1950s (1958)
What is the most sold flavour of Walker's crisps?,Cheese and Onion
 What's the biggest animal in the world?,The blue whale 
"For one point, put the following Kardashian-Jenners in order of age, oldest to youngest: Khloe, Kylie, Rob, Kourtney, Kendall, Kim, Kris ","Oldest to youngest: Kris, 64, Kourtney, 41, Kim, 39, Khloe, 35, Rob, 33, Kendall, 24, Kylie, 22"
How many times has Andy Murray won Wimbledon playing singles?,Twice - in 2013 against Novak Djokovic and in 2016 against Milos Raonic
Which country is brie cheese originally from?,France
In what franchise would you find the character Katniss Everdeen?,The Hunger Games
What year was Heinz established? ,1869 
What is the capital of Iceland?,Reykjavík 
Who came second in the FIFA Women's World Cup in 2019?,Netherlands
What year did Margaret Thatcher die?,"2013, on the 8th April "
What does IPA stand for?,Indian Pale Ale
 Who painted the Mona Lisa?,Leonardo da Vinci  
Which planet is closest to the sun?,Mercury
What is Queen Elizabeth II's surname?,Windor. Her full name is Elizabeth Alexandra Mary Windsor
Who plays Delboy Trotter in Only Fools And Horses?,David Jason
What is the largest country in the world?,Russia
Which fashion designer reportedly had a relationship with Winston Churchill?,Coco Chanel
How many valves does the heart have?,"Four - the mitral, tricuspid, aortic and pulmonic valves"
What is the name of the school in Sex Education?,Moordale High 
"In Harry Potter, what is the name of The Weasley's house?",The Burrow 
"Put these Tom Hanks films in chronological order: Catch Me If You Can, Forrest Gump, The Terminal, Bridge Of Spies","Forrest Gump (1994), Catch Me If You Can (2002), The Terminal (2004), Bridge Of Spies (2015)"
"Typically, what four ingredients go into a cosmopolitan cocktail? (For one point)","Fresh lime juice, vodka, cranberry juice,  triple sec/cointreau/orange liqueur"
Who has been the First Minister of Wales since December 2018?,Mark Drakeford 
Which city had the first ever fashion week?,"New York, in 1943"
What nut is in the middle of a Ferrero Rocher? ,Hazelnut
What's a baby rabbit called?,A kit
How many minutes in a game of rugby league? ,80 minutes
"Typically, what's the strongest muscle in the human body?",The masseter - the main jaw muscle 
Name one landlocked country in Europe,"Any of the following 14 countries: Andorra, Austria, Belarus, Czech Republic, Hungary, Liechtenstein, Luxembourg, Macedonia, Moldova, San Marino, Serbia, Slovakia, Switzerland, and Vatican City."
Who did Anne Hathaway play in Les Miserables?,Fantine
What fruit takes the scientific name Mangifera indica?,Mango  
What does He stand for on the periodic table?,Helium
What does LGBTQ stand for?,"Lesbian, gay, bisexual, transgender, and questioning (or queer)"
"What did Jack Dorsey, Noah Glass, Biz Stone, and Evan Williams collectively create?",Twitter
"To a single decimal point, many kilometers in a mile?",1.6km 
Where in England would you find the themepark Dreamland?,Margate
What month was Prince George born?,July 
"For two points, if all of the states of America were placed in alphabetical order, what would be first and last?",First: Alabama. Last: Wyoming
Who is the highest spiritual leader of Tibet?,The Dalai Lama
What is the Papaver Rhoeas flower better known as?,A poppy!
"Who plays Emily in the hit Netflix show, Emily In Paris?",Lily Collins
